日期,進站人數,離站人數
20190829,61664,60094
20190830,68957,64558
20190831,68739,64085
20190901,62846,67674
20190902,58111,61353
20190903,58367,57813
20190904,57223,58446
20190905,59255,58119
20190906,73461,69444
20190907,69176,64230
20190908,62849,71048
20190909,60622,60360
20190910,58619,57285
20190911,61521,59405
20190912,83751,71327
20190913,74522,59379
20190914,61138,66114
20190915,60809,81468
20190916,60328,64998
20190917,54498,57209
20190918,57368,57078
20190919,60031,58665
20190920,74109,68730
20190921,62208,58496
20190922,63276,68998
20190923,60343,60957
20190924,58097,57082
20190925,59606,58742
20190926,59813,58514
20190927,75844,68457
20190928,67931,61863
20190929,59754,67758
20190930,25874,30234
20191001,57200,56902
20191002,59213,57360
20191003,61024,60318
20191004,71303,66980
20191005,66461,66089
20191006,62855,66269
20191007,59995,60349
20191008,57276,58403
20191009,79979,72503
20191010,87047,73210
20191011,83936,78638
20191012,73293,81514
20191013,69961,84363
20191014,60989,63417
20191015,57331,57077
20191016,58008,57359
20191017,59525,59066
20191018,74964,68963
20191019,69414,65938
20191020,66297,71198
20191021,60080,61203
20191022,57308,58255
20191023,58892,58330
20191024,61264,60518
20191025,76641,71534
20191026,74001,69720
20191027,67513,71455
20191028,60374,62088
20191029,56216,56022
20191030,55819,56253
20191031,56913,55844
20191101,75616,67740
20191102,67628,65277
20191103,57683,65638
20191104,59416,61210
20191105,57547,56640
20191106,56761,58068
20191107,60769,59346
20191108,76372,71116
20191109,73727,67411
20191110,69348,73795
20191111,62609,64843
20191112,59831,59026
20191113,58869,58289
20191114,60697,59725
20191115,77361,72564
20191116,74561,71267
20191117,71522,76778
20191118,60627,63169
20191119,57802,57416
20191120,58349,57871
20191121,58365,59187
20191122,75308,69850
20191123,72002,66541
20191124,67133,72313
20191125,61327,63289
20191126,59032,58290
20191127,60202,59067
20191128,59892,59154
20191129,75467,71554
20191130,71957,68896
20191201,66466,70017
20191202,58842,61439
20191203,57821,57646
20191204,57724,56783
20191205,57799,56230
20191206,71105,67805
20191207,65705,64190
20191208,68377,72437
20191209,62332,63450
20191210,59889,59677
20191211,58602,58453
20191212,60466,59427
20191213,75232,74555
20191214,75976,76003
20191215,76196,78020
20191216,65695,64618
20191217,61043,60451
20191218,59606,59517
20191219,55970,52962
20191220,71672,71320
20191221,67450,66414
20191222,66428,70167
20191223,63297,63075
20191224,60723,60882
20191225,62482,61573
20191226,61429,60484
20191227,75194,69956
20191228,68874,66660
20191229,58608,62142
20191230,62141,63451
20191231,65900,82392
20200101,74444,57279
20200102,60656,60765
20200103,67692,65289
20200104,59475,58244
20200105,57014,59480
20200106,58573,58234
20200107,57128,56398
20200108,57239,56452
20200109,69466,67960
20200110,82586,71146
20200111,63942,59520
20200112,58723,68177
20200113,62437,62529
20200114,60036,59349
20200115,57218,53385
20200116,62129,62608
20200117,68363,66080
20200118,61584,62163
20200119,58644,60469
20200120,66295,63848
20200121,67240,62643
20200122,71853,62696
20200123,59488,42593
20200124,46607,32457
20200125,56570,52365
20200126,55498,54743
20200127,57837,63874
20200128,53455,65609
20200129,47482,60188
20200130,54856,61889
20200131,60054,63190
20200201,54509,55151
20200202,50780,52375
20200203,57079,57580
20200204,53481,51863
20200205,52435,52550
20200206,55065,55532
20200207,61420,59394
20200208,50767,46234
20200209,45142,48878
20200210,53644,53560
20200211,51127,50568
20200212,52466,52263
20200213,51404,51561
20200214,57200,56847
20200215,52374,50926
20200216,43981,45179
20200217,50087,50061
20200218,49822,49312
20200219,51803,50331
20200220,50218,50592
20200221,59592,56376
20200222,46950,44343
20200223,43481,46885
20200224,50803,51403
20200225,48673,48015
20200226,49020,47705
20200227,62487,55014
20200228,54395,43354
20200229,40006,42224
20200301,39180,54050
20200302,45841,48212
20200303,44327,44116
20200304,43759,43297
20200305,44479,43593
20200306,58123,52917
20200307,43531,39504
20200308,38118,42903
20200309,46809,47336
20200310,43712,43285
20200311,46471,45595
20200312,46018,44833
20200313,57967,52606
20200314,42219,38440
20200315,42113,46322
20200316,46999,48244
20200317,45546,45227
20200318,45304,43815
20200319,44150,42454
20200320,55815,50510
20200321,38420,34726
20200322,33471,38861
20200323,43090,43705
20200324,41994,41104
20200325,41654,40752
20200326,42485,41604
20200327,52543,47494
20200328,32244,28117
20200329,30974,34371
20200330,41757,42328
20200331,43407,41441
20200401,57013,47812
20200402,43353,28832
20200403,32504,28590
20200404,22890,31937
20200405,28827,46104
20200406,41477,45116
20200407,38451,38180
20200408,38293,37865
20200409,39117,37782
20200410,48008,44710
20200411,30282,27480
20200412,26298,29029
20200413,39569,40109
20200414,38712,38079
20200415,40254,39638
20200416,40885,39770
20200417,51666,47075
20200418,36953,33814
20200419,32424,36011
20200420,40744,42135
20200421,39158,38260
20200422,39032,38344
20200423,39976,39055
20200424,49015,44829
20200425,31451,28999
20200426,27505,31148
20200427,40012,41003
20200428,40418,39602
20200429,40933,39764
20200430,48396,43350
20200501,50092,39198
20200502,35153,32791
20200503,32495,42265
20200504,42156,44106
20200505,41250,40796
20200506,42309,41437
20200507,43586,41895
20200508,59521,51413
20200509,42767,35705
20200510,35143,42831
20200511,44232,47067
20200512,42232,42245
20200513,44490,43693
20200514,44824,43502
20200515,57382,52941
20200516,42310,39141
20200517,37914,41101
20200518,44254,45683
20200519,42108,41855
20200520,44654,43617
20200521,43973,43148
20200522,54718,49363
20200523,40245,36987
20200524,45512,49780
20200525,45893,47639
20200526,44365,44259
20200527,44402,43661
20200528,45181,43490
20200529,59592,53282
20200530,46632,44875
20200531,44280,49480
20200601,46657,47579
20200602,45539,45442
20200603,47045,46037
20200604,46751,46055
20200605,59916,55272
20200606,51642,47785
20200607,44695,49261
20200608,47600,49294
20200609,47571,47319
20200610,49056,48111
20200611,50363,48353
20200612,62485,58365
20200613,58177,52720
20200614,51508,53744
20200615,50052,51433
20200616,50023,49554
20200617,49704,49374
20200618,51080,49391
20200619,57869,53384
20200620,53796,50626
20200621,49129,49999
20200622,50964,52100
20200623,53265,50672
20200624,70368,59083
20200625,63485,46319
20200626,60053,57020
20200627,53892,62479
20200628,49962,67628
20200629,53608,57068
20200630,51274,52065
20200701,50047,48915
20200702,50712,49676
20200703,60465,54603
20200704,55422,50577
20200705,49869,52551
20200706,54483,52535
20200707,52766,51380
20200708,53339,52099
20200709,54655,53094
20200710,65167,61366
20200711,58009,53552
20200712,54600,59070
20200713,55227,56295
20200714,55420,55951
20200715,57762,56640
20200716,59059,57492
20200717,69248,64866
20200718,60863,57773
20200719,56997,60810
20200720,57610,58667
20200721,55622,55864
20200722,58170,56435
20200723,58643,56560
20200724,68281,63843
20200725,59399,56568
20200726,55176,59400
20200727,56658,57718
20200728,55102,54981
20200729,56753,56282
20200730,59519,57398
20200731,70030,65561
20200801,63817,58599
20200802,54817,58613
20200803,51419,52752
20200804,52494,52821
20200805,54069,54172
20200806,56769,56052
20200807,69217,63298
20200808,55866,50589
20200809,57293,62364
20200810,57909,60045
20200811,54180,54907
20200812,57591,56893
20200813,59820,58315
20200814,70133,66112
20200815,63966,60489
20200816,62943,66549
20200817,59940,61897
20200818,58176,59459
20200819,57645,58084
20200820,59947,58338
20200821,70428,66935
20200822,65261,62263
20200823,58142,61704
20200824,59284,62153
20200825,58724,59438
20200826,58664,58211
20200827,58103,56777
20200828,66841,62556
20200829,59581,56057
20200830,51740,56838
20200831,51418,53417
20200901,50885,49156
20200902,49929,49235
20200903,53392,52462
20200904,65256,60641
20200905,58950,55123
20200906,54210,58882
20200907,55135,56179
20200908,53392,52691
20200909,53224,53642
20200910,54691,54093
20200911,67332,62353
20200912,60027,56805
20200913,54974,61719
20200914,52019,54426
20200915,51662,50418
20200916,51528,50501
20200917,53730,51530
20200918,70721,62651
20200919,64373,58068
20200920,56364,62934
20200921,53227,56123
20200922,51946,52403
20200923,53343,52851
20200924,52736,52297
20200925,62019,57918
20200926,57097,54324
20200927,48530,51773
20200928,51398,53292
20200929,54658,51970
20200930,78172,64223
20201001,70547,49033
20201002,61260,58103
20201003,54344,63718
20201004,53906,72516
20201005,52200,57396
20201006,51241,48981
20201007,53040,51201
20201008,70796,61348
20201009,70317,59385
20201010,59561,59581
20201011,57481,69753
20201012,52827,55194
20201013,51376,51639
20201014,52469,51285
20201015,54365,52861
20201016,68841,62522
20201017,62242,57200
20201018,60082,64311
20201019,53344,55450
20201020,52160,52053
20201021,52606,51962
20201022,53474,52129
20201023,69951,63500
20201024,63791,58156
20201025,56797,62666
20201026,54170,57679
20201027,52448,53066
20201028,52295,51858
20201029,53304,51570
20201030,67538,62763
20201031,62156,58051
20201101,53690,57501
20201102,51617,54254
20201103,49190,49230
20201104,50747,50309
20201105,52382,51004
20201106,68971,61731
20201107,60628,57784
20201108,53221,58571
20201109,52905,54956
20201110,50599,50468
20201111,52188,51742
20201112,54460,52545
20201113,71337,64213
20201114,62335,58214
20201115,62667,68112
20201116,55623,58097
20201117,53203,52456
20201118,54695,53923
20201119,56824,55028
20201120,71865,65256
20201121,63151,60154
20201122,62345,67785
20201123,52773,56368
20201124,52029,52379
20201125,54021,53231
20201126,55719,53758
20201127,70490,64527
20201128,60355,56439
20201129,53582,59981
20201130,51383,55048
20201201,49076,48834
20201202,49806,49528
20201203,51577,49472
20201204,66890,61517
20201205,58191,56514
20201206,55645,57123
20201207,50661,52709
20201208,48030,48530
20201209,47180,46689
20201210,49408,48898
20201211,65757,61124
20201212,61113,60542
20201213,61607,61561
20201214,53722,54788
20201215,49931,50338
20201216,52102,50198
20201217,53762,52528
20201218,69220,66916
20201219,62348,61010
20201220,59083,61682
20201221,53442,54710
20201222,51685,51599
20201223,50612,50027
20201224,52202,51362
20201225,66064,63593
20201226,57974,55655
20201227,54851,56333
20201228,52775,53650
20201229,51769,50989
20201230,54802,50770
20201231,73157,69926
20210101,65706,47931
20210102,45663,52131
20210103,46763,60848
20210104,48796,51948
20210105,46660,46613
20210106,47293,46829
20210107,47900,46001
20210108,57205,52945
20210109,46580,43665
20210110,43823,46895
20210111,48781,48420
20210112,47575,47473
20210113,48357,47890
20210114,51044,50184
20210115,63268,59399
20210116,52125,49165
20210117,44390,47919
20210118,52242,51926
20210119,51094,50341
20210120,51798,51759
20210121,52544,50517
20210122,58087,54463
20210123,44679,42554
20210124,43457,46513
20210125,50872,51734
20210126,48326,48792
20210127,48397,47847
20210128,47460,47638
20210129,55912,53456
20210130,44866,42899
20210131,40155,43679
20210201,49624,49382
20210202,47404,46924
20210203,50155,48943
20210204,51449,51006
20210205,58225,56603
20210206,47069,44034
20210207,42448,41095
20210208,55402,49996
20210209,60408,50695
20210210,49932,33297
20210211,36237,22848
20210212,43164,36537
20210213,47520,45803
20210214,51044,62245
20210215,49305,64799
20210216,43975,60169
20210217,50497,57073
20210218,53077,55110
20210219,55331,57959
20210220,53368,57067
20210221,48928,51704
20210222,51736,50829
20210223,49790,48909
20210224,50168,49534
20210225,51618,50834
20210226,68623,60780
20210227,62765,52546
20210228,60505,61959
20210301,53831,65482
20210302,48959,50362
20210303,48924,48496
20210304,50103,49908
20210305,62986,58920
20210306,50144,46504
20210307,46344,50079
20210308,50261,51198
20210309,49025,48432
20210310,50000,49436
20210311,52266,51203
20210312,65732,60815
20210313,57278,54098
20210314,55017,59658
20210315,51862,53068
20210316,50737,50345
20210317,50825,50156
20210318,52423,51320
20210319,65286,60780
20210320,58057,55127
20210321,51252,55884
20210322,49068,50337
20210323,50377,49278
20210324,48673,48400
20210325,52301,51440
20210326,65623,61518
20210327,58853,55137
20210328,53089,56989
20210329,53462,53810
20210330,51767,51185
20210331,56781,52478
20210401,73395,61978
20210402,71264,55774
20210403,51053,41394
20210404,46148,58277
20210405,49955,63892
20210406,54146,59803
20210407,50676,52739
20210408,49762,49292
20210409,62767,58024
20210410,52431,50970
20210411,53441,55469
20210412,51130,52542
20210413,50673,49568
20210414,49442,49443
20210415,51532,49944
20210416,63782,59624
20210417,56437,53362
20210418,52798,56095
20210419,51717,53856
20210420,50275,49818
20210421,51396,49703
20210422,53191,52314
20210423,66353,61453
20210424,60210,56235
20210425,52251,56031
20210426,51073,53499
20210427,49472,48247
20210428,49645,47657
20210429,55389,50727
20210430,66715,57322
20210501,52081,49648
20210502,46714,54713
20210503,47118,50622
20210504,46234,46177
20210505,45683,45517
20210506,48366,46941
20210507,64963,57512
20210508,48364,42404
20210509,41379,49015
20210510,48733,51886
20210511,46367,46240
20210512,44096,43736
20210513,39792,29766
20210514,50900,44769
20210515,25490,20165
20210516,18089,21514
20210517,24587,25883
20210518,16916,19061
20210519,17762,17794
20210520,17817,16971
20210521,22796,19432
20210522,10524,8299
20210523,8083,11667
20210524,15330,17542
20210525,14132,15024
20210526,14300,14465
