日期,進站人數,離站人數
20200321,5075,5019
20200322,4866,4515
20200323,5795,5447
20200324,5751,5285
20200325,5733,5445
20200326,5938,5427
20200327,6438,5974
20200328,3688,3706
20200329,4465,4299
20200330,5799,5464
20200331,6581,5124
20200401,6769,5721
20200402,4389,3879
20200403,4181,3979
20200404,3671,3226
20200405,4173,3608
20200406,5729,5675
20200407,5387,4825
20200408,5512,5101
20200409,5507,5099
20200410,6485,5888
20200411,4156,4002
20200412,3750,3702
20200413,5684,5455
20200414,5642,5228
20200415,5791,5472
20200416,5889,5454
20200417,6790,6382
20200418,5335,5197
20200419,4931,4782
20200420,6069,5644
20200421,5633,5162
20200422,5352,5040
20200423,5469,4988
20200424,6259,5802
20200425,4113,4158
20200426,3911,3936
20200427,5734,5553
20200428,5812,5366
20200429,5961,5603
20200430,6383,6001
20200501,6593,6180
20200502,5800,5556
20200503,5428,5145
20200504,6133,5871
20200505,5934,5593
20200506,6054,5708
20200507,6135,5639
20200508,7318,6635
20200509,5954,5977
20200510,5552,5203
20200511,6156,5818
20200512,5728,5510
20200513,6401,6036
20200514,6400,5921
20200515,7663,7006
20200516,5612,5350
20200517,5527,5133
20200518,6161,5883
20200519,5642,5368
20200520,6133,5806
20200521,5989,5595
20200522,6523,6276
20200523,5048,4782
20200524,6179,6115
20200525,6352,6181
20200526,6314,5756
20200527,5921,5710
20200528,5953,5559
20200529,7435,6629
20200530,6831,6505
20200531,6905,6469
20200601,6489,6228
20200602,6530,5878
20200603,6522,5994
20200604,6612,6052
20200605,7732,6981
20200606,7223,7012
20200607,6031,5758
20200608,6503,6410
20200609,6617,5994
20200610,6918,6496
20200611,6637,6262
20200612,7866,7446
20200613,7934,7594
20200614,6977,6515
20200615,6799,6254
20200616,7124,6583
20200617,6566,6085
20200618,6789,6467
20200619,7381,6776
20200620,7601,7244
20200621,6480,5945
20200622,7047,6604
20200623,7064,6495
20200624,7931,7840
20200625,7388,7577
20200626,9534,8591
20200627,9079,8443
20200628,7554,6701
20200629,7123,6925
20200630,6944,6444
20200701,6569,6051
20200702,6456,6242
20200703,7310,6973
20200704,7359,7046
20200705,6590,6376
20200706,6944,6616
20200707,7015,6597
20200708,6753,6424
20200709,7156,6656
20200710,8270,7792
20200711,7827,7763
20200712,7410,6709
20200713,7343,6903
20200714,7355,7140
20200715,7498,6854
20200716,7501,7159
20200717,8501,7722
20200718,8144,7728
20200719,7459,6745
20200720,7548,7083
20200721,7380,6541
20200722,7558,7079
20200723,7693,7069
20200724,8465,7819
20200725,7608,7389
20200726,7058,6854
20200727,7406,6865
20200728,7313,6704
20200729,7425,7137
20200730,7691,7020
20200731,8234,7899
20200801,8340,8141
20200802,7209,6378
20200803,5992,5366
20200804,6568,6405
20200805,7230,6918
20200806,7438,6796
20200807,8217,7522
20200808,7162,7216
20200809,7654,7109
20200810,7431,6772
20200811,6853,6289
20200812,7451,7124
20200813,7536,7195
20200814,8202,7787
20200815,8399,8073
20200816,8083,7657
20200817,7530,7104
20200818,7635,6918
20200819,7676,7240
20200820,7595,6971
20200821,8384,7818
20200822,7231,7216
20200823,6961,6461
20200824,7529,7157
20200825,7678,7079
20200826,7834,7327
20200827,6899,6522
20200828,8301,7708
20200829,7130,6941
20200830,7083,6560
20200831,6520,6247
20200901,6789,6789
20200902,7093,6999
20200903,6752,6619
20200904,8186,7722
20200905,7872,7418
20200906,7208,6906
20200907,7002,7143
20200908,7113,6655
20200909,7592,7067
20200910,7194,6820
20200911,8322,7989
20200912,7205,6797
20200913,6282,6278
20200914,6850,6722
20200915,6827,6416
20200916,7218,6795
20200917,7011,6590
20200918,8646,7962
20200919,7951,7917
20200920,6896,7013
20200921,6800,6840
20200922,7268,6826
20200923,7764,7176
20200924,7238,6517
20200925,8031,7355
20200926,7634,7443
20200927,5498,5743
20200928,6965,6762
20200929,7434,6822
20200930,9705,8995
20201001,8845,8439
20201002,10773,9912
20201003,9912,9599
20201004,8800,8302
20201005,6914,6776
20201006,6853,6559
20201007,7370,7010
20201008,8713,7896
20201009,10224,9968
20201010,8893,8588
20201011,7363,7671
20201012,6978,6618
20201013,6626,6447
20201014,7355,7076
20201015,7390,6738
20201016,8519,7953
20201017,7527,7085
20201018,7168,7099
20201019,7175,6912
20201020,7091,6637
20201021,7001,6460
20201022,7101,6626
20201023,8250,7684
20201024,8331,8390
20201025,7745,7567
20201026,7473,7435
20201027,7499,7102
20201028,7335,7043
20201029,7396,6653
20201030,8716,8110
20201031,8165,7905
20201101,8063,7635
20201102,7130,6882
20201103,6836,6478
20201104,6972,6655
20201105,7373,6503
20201106,8190,7874
20201107,7902,7501
20201108,6442,5991
20201109,7147,6786
20201110,6902,6597
20201111,7211,6742
20201112,7509,6703
20201113,8500,7908
20201114,7745,7952
20201115,8158,8149
20201116,7447,7195
20201117,7318,7039
20201118,7685,7578
20201119,8054,7592
20201120,8957,7947
20201121,7728,7379
20201122,7921,7389
20201123,7143,6702
20201124,6932,6589
20201125,7378,7069
20201126,7703,6950
20201127,8558,7832
20201128,7199,6995
20201129,6267,6244
20201130,6952,6748
20201201,6457,6008
20201202,6789,6263
20201203,6792,6306
20201204,8084,7810
20201205,7180,6809
20201206,6618,6194
20201207,6675,6431
20201208,6591,6203
20201209,6443,6274
20201210,6894,6329
20201211,8152,7651
20201212,8197,8070
20201213,7693,7445
20201214,6941,6522
20201215,6802,6112
20201216,6541,6174
20201217,6948,6324
20201218,8673,7812
20201219,7043,6761
20201220,6570,6332
20201221,7029,6504
20201222,6860,6578
20201223,6520,6020
20201224,6864,6244
20201225,8377,7867
20201226,7498,7196
20201227,6960,6738
20201228,7060,6759
20201229,7002,6575
20201230,6690,6200
20201231,9159,8124
20210101,7223,7425
20210102,6606,6240
20210103,6656,6477
20210104,6700,6396
20210105,6354,5962
20210106,6640,6098
20210107,6309,5762
20210108,7066,6565
20210109,5464,5246
20210110,5704,5459
20210111,6327,6238
20210112,6564,6217
20210113,6980,6488
20210114,7121,6603
20210115,8340,7880
20210116,6665,6215
20210117,5352,4755
20210118,6786,6402
20210119,6844,6433
20210120,7884,7222
20210121,7094,6448
20210122,7434,6992
20210123,5904,5671
20210124,6297,5774
20210125,6984,6483
20210126,6947,6339
20210127,6480,5994
20210128,6154,5538
20210129,7072,6501
20210130,6196,6347
20210131,6065,5395
20210201,6770,6169
20210202,6344,5793
20210203,6964,6453
20210204,7054,6277
20210205,7802,7120
20210206,6458,6194
20210207,6115,5390
20210208,6922,6076
20210209,6771,6372
20210210,4672,4962
20210211,3602,4383
20210212,6401,5573
20210213,7323,7191
20210214,9181,8281
20210215,9546,9157
20210216,7657,6998
20210217,6653,6332
20210218,7529,7090
20210219,7706,7181
20210220,8038,7768
20210221,6841,6710
20210222,7287,6926
20210223,6970,6636
20210224,7349,6725
20210225,7295,6613
20210226,8309,7688
20210227,7264,6843
20210228,10544,9414
20210301,8385,8038
20210302,6605,6219
20210303,6668,6321
20210304,7006,6451
20210305,8366,7736
20210306,5753,5626
20210307,5818,5626
20210308,6812,6475
20210309,6926,6554
20210310,7022,6605
20210311,7708,6860
20210312,8412,7991
20210313,7929,7478
20210314,7533,7209
20210315,7153,6778
20210316,7065,6575
20210317,7139,6731
20210318,7482,6678
20210319,8425,7971
20210320,8389,7677
20210321,6581,6119
20210322,6406,6236
20210323,6571,6242
20210324,6652,6099
20210325,7327,6643
20210326,8411,8039
20210327,8270,7660
20210328,7837,7064
20210329,7365,6780
20210330,7427,6717
20210331,8174,7163
20210401,9861,8959
20210402,10046,9354
20210403,6548,6269
20210404,6790,6180
20210405,8059,7213
20210406,7381,7593
20210407,7449,6657
20210408,6778,6222
20210409,7818,7340
20210410,6576,6496
20210411,7637,7026
20210412,7183,6814
20210413,6986,6546
20210414,7450,6793
20210415,7062,6544
20210416,8532,7709
20210417,8190,8043
20210418,7114,7181
20210419,7354,6770
20210420,7280,6761
20210421,7306,7097
20210422,7305,6755
20210423,8665,7558
20210424,7960,7608
20210425,6851,6783
20210426,7169,6687
20210427,6998,6552
20210428,7019,6620
20210429,7112,6671
20210430,9767,9029
20210501,8544,8195
20210502,7214,6800
20210503,6873,6499
20210504,6617,6273
20210505,6391,6049
20210506,7214,6437
20210507,8344,7873
20210508,6771,6597
20210509,6638,6452
20210510,7134,6787
20210511,6792,6310
20210512,6341,5691
20210513,4432,4653
20210514,6156,5382
20210515,2561,2382
20210516,1820,1798
20210517,3550,3281
20210518,2569,1679
20210519,2733,2405
20210520,2580,2237
20210521,2460,2229
20210522,974,940
20210523,861,888
20210524,2304,2080
20210525,2195,1919
20210526,2235,2017
20210527,2170,1952
20210528,2331,2110
20210529,908,884
20210530,801,817
20210531,2172,1993
20210601,2099,1958
20210602,2173,1987
20210603,2117,1935
20210604,2070,1880
20210605,919,921
20210606,820,836
20210607,2121,1991
20210608,2102,1894
20210609,2063,1896
20210610,2107,1918
20210611,2167,2055
20210612,1005,1061
20210613,809,812
20210614,1119,1107
20210615,2238,2135
20210616,2237,2021
20210617,2122,1888
20210618,2280,2094
20210619,1215,1181
20210620,1052,959
20210621,2315,2136
20210622,2279,2037
20210623,2145,1951
20210624,2369,2067
20210625,2404,2332
20210626,1381,1237
20210627,1158,1029
20210628,2523,2253
20210629,2441,2170
20210630,2391,2150
20210701,2467,2255
20210702,2656,2442
