日期,進站人數,離站人數
20200829,27782,28692
20200830,29219,29117
20200831,19263,18454
20200901,16741,16717
20200902,16022,16563
20200903,18282,18798
20200904,24063,24828
20200905,27222,28321
20200906,30069,31265
20200907,20121,19064
20200908,17236,17449
20200909,17699,18004
20200910,19412,19148
20200911,26334,26300
20200912,30891,33684
20200913,39086,40676
20200914,19127,17963
20200915,15737,15876
20200916,16086,16181
20200917,17104,16929
20200918,28866,26772
20200919,31299,31995
20200920,37327,39648
20200921,18782,18690
20200922,16023,16148
20200923,16217,16400
20200924,16896,16638
20200925,21618,20850
20200926,23822,24583
20200927,30630,31053
20200928,17210,17321
20200929,16556,16877
20200930,34334,28300
20201001,34226,30178
20201002,30581,31580
20201003,32435,34451
20201004,34542,43398
20201005,19055,20233
20201006,15990,15913
20201007,16348,16644
20201008,29736,26462
20201009,34170,33866
20201010,33105,35281
20201011,40032,42921
20201012,18850,19647
20201013,16605,16602
20201014,16591,16743
20201015,17594,17497
20201016,27718,26426
20201017,31646,33239
20201018,41020,41238
20201019,18793,19212
20201020,16279,16807
20201021,16761,16741
20201022,17164,17197
20201023,28058,26091
20201024,30578,31351
20201025,34494,36765
20201026,18946,19132
20201027,16004,16147
20201028,15873,15891
20201029,16869,16718
20201030,28804,25605
20201031,29088,29777
20201101,31764,34733
20201102,17512,17938
20201103,14818,14886
20201104,15437,15358
20201105,16698,16247
20201106,27959,26502
20201107,29040,31113
20201108,35229,36612
20201109,18207,18509
20201110,15601,15892
20201111,16744,17022
20201112,18075,17908
20201113,30524,28293
20201114,34536,37152
20201115,45610,47130
20201116,19740,19835
20201117,16610,16390
20201118,16795,16837
20201119,18522,18072
20201120,29947,28521
20201121,31355,32818
20201122,39421,41241
20201123,20031,20161
20201124,16809,16730
20201125,16962,17332
20201126,18385,18118
20201127,29918,27279
20201128,30527,30716
20201129,33660,35825
20201130,18618,19543
20201201,15269,15800
20201202,15975,15752
20201203,16901,16678
20201204,28780,27723
20201205,31591,32570
20201206,36936,38990
20201207,20103,19821
20201208,16189,16017
20201209,15305,15189
20201210,17654,17286
20201211,30221,28005
20201212,36124,36913
20201213,43903,46957
20201214,19949,20636
20201215,16472,16730
20201216,16837,16904
20201217,18166,17805
20201218,30738,28650
20201219,35538,36574
20201220,41066,43678
